-1,875 - 1,875i
-1,625 - 1,875i
-1,375 - 1,875i
-1,125 - 1,875i
-0,875 - 1,875i
-0,625 - 1,875i
-0,375 - 1,875i
-0,125 - 1,875i
0,125 - 1,875i
0,375 - 1,875i
0,625 - 1,875i
0,875 - 1,875i
1,125 - 1,875i
1,375 - 1,875i
1,625 - 1,875i
1,875 - 1,875i
-1,875 - 1,625i
-1,625 - 1,625i
-1,375 - 1,625i
-1,125 - 1,625i
-0,875 - 1,625i
-0,625 - 1,625i
-0,375 - 1,625i
-0,125 - 1,625i
0,125 - 1,625i
0,375 - 1,625i
0,625 - 1,625i
0,875 - 1,625i
1,125 - 1,625i
1,375 - 1,625i
1,625 - 1,625i
1,875 - 1,625i
-1,875 - 1,375i
-1,625 - 1,375i
-1,375 - 1,375i
-1,125 - 1,375i
-0,875 - 1,375i
-0,625 - 1,375i
-0,375 - 1,375i
-0,125 - 1,375i
0,125 - 1,375i
0,375 - 1,375i
0,625 - 1,375i
0,875 - 1,375i
1,125 - 1,375i
1,375 - 1,375i
1,625 - 1,375i
1,875 - 1,375i
-1,875 - 1,125i
-1,625 - 1,125i
-1,375 - 1,125i
-1,125 - 1,125i
-0,875 - 1,125i
-0,625 - 1,125i
-0,375 - 1,125i
-0,125 - 1,125i
0,125 - 1,125i
0,375 - 1,125i
0,625 - 1,125i
0,875 - 1,125i
1,125 - 1,125i
1,375 - 1,125i
1,625 - 1,125i
1,875 - 1,125i
-1,875 - 0,875i
-1,625 - 0,875i
-1,375 - 0,875i
-1,125 - 0,875i
-0,875 - 0,875i
-0,625 - 0,875i
-0,375 - 0,875i
-0,125 - 0,875i
0,125 - 0,875i
0,375 - 0,875i
0,625 - 0,875i
0,875 - 0,875i
1,125 - 0,875i
1,375 - 0,875i
1,625 - 0,875i
1,875 - 0,875i
-1,875 - 0,625i
-1,625 - 0,625i
-1,375 - 0,625i
-1,125 - 0,625i
-0,875 - 0,625i
-0,625 - 0,625i
-0,375 - 0,625i
-0,125 - 0,625i
0,125 - 0,625i
0,375 - 0,625i
0,625 - 0,625i
0,875 - 0,625i
1,125 - 0,625i
1,375 - 0,625i
1,625 - 0,625i
1,875 - 0,625i
-1,875 - 0,375i
-1,625 - 0,375i
-1,375 - 0,375i
-1,125 - 0,375i
-0,875 - 0,375i
-0,625 - 0,375i
-0,375 - 0,375i
-0,125 - 0,375i
0,125 - 0,375i
0,375 - 0,375i
0,625 - 0,375i
0,875 - 0,375i
1,125 - 0,375i
1,375 - 0,375i
1,625 - 0,375i
1,875 - 0,375i
-1,875 - 0,125i
-1,625 - 0,125i
-1,375 - 0,125i
-1,125 - 0,125i
-0,875 - 0,125i
-0,625 - 0,125i
-0,375 - 0,125i
-0,125 - 0,125i
0,125 - 0,125i
0,375 - 0,125i
0,625 - 0,125i
0,875 - 0,125i
1,125 - 0,125i
1,375 - 0,125i
1,625 - 0,125i
1,875 - 0,125i
-1,875 + 0,125i
-1,625 + 0,125i
-1,375 + 0,125i
-1,125 + 0,125i
-0,875 + 0,125i
-0,625 + 0,125i
-0,375 + 0,125i
-0,125 + 0,125i
0,125 + 0,125i
0,375 + 0,125i
0,625 + 0,125i
0,875 + 0,125i
1,125 + 0,125i
1,375 + 0,125i
1,625 + 0,125i
1,875 + 0,125i
-1,875 + 0,375i
-1,625 + 0,375i
-1,375 + 0,375i
-1,125 + 0,375i
-0,875 + 0,375i
-0,625 + 0,375i
-0,375 + 0,375i
-0,125 + 0,375i
0,125 + 0,375i
0,375 + 0,375i
0,625 + 0,375i
0,875 + 0,375i
1,125 + 0,375i
1,375 + 0,375i
1,625 + 0,375i
1,875 + 0,375i
-1,875 + 0,625i
-1,625 + 0,625i
-1,375 + 0,625i
-1,125 + 0,625i
-0,875 + 0,625i
-0,625 + 0,625i
-0,375 + 0,625i
-0,125 + 0,625i
0,125 + 0,625i
0,375 + 0,625i
0,625 + 0,625i
0,875 + 0,625i
1,125 + 0,625i
1,375 + 0,625i
1,625 + 0,625i
1,875 + 0,625i
-1,875 + 0,875i
-1,625 + 0,875i
-1,375 + 0,875i
-1,125 + 0,875i
-0,875 + 0,875i
-0,625 + 0,875i
-0,375 + 0,875i
-0,125 + 0,875i
0,125 + 0,875i
0,375 + 0,875i
0,625 + 0,875i
0,875 + 0,875i
1,125 + 0,875i
1,375 + 0,875i
1,625 + 0,875i
1,875 + 0,875i
-1,875 + 1,125i
-1,625 + 1,125i
-1,375 + 1,125i
-1,125 + 1,125i
-0,875 + 1,125i
-0,625 + 1,125i
-0,375 + 1,125i
-0,125 + 1,125i
0,125 + 1,125i
0,375 + 1,125i
0,625 + 1,125i
0,875 + 1,125i
1,125 + 1,125i
1,375 + 1,125i
1,625 + 1,125i
1,875 + 1,125i
-1,875 + 1,375i
-1,625 + 1,375i
-1,375 + 1,375i
-1,125 + 1,375i
-0,875 + 1,375i
-0,625 + 1,375i
-0,375 + 1,375i
-0,125 + 1,375i
0,125 + 1,375i
0,375 + 1,375i
0,625 + 1,375i
0,875 + 1,375i
1,125 + 1,375i
1,375 + 1,375i
1,625 + 1,375i
1,875 + 1,375i
-1,875 + 1,625i
-1,625 + 1,625i
-1,375 + 1,625i
-1,125 + 1,625i
-0,875 + 1,625i
-0,625 + 1,625i
-0,375 + 1,625i
-0,125 + 1,625i
0,125 + 1,625i
0,375 + 1,625i
0,625 + 1,625i
0,875 + 1,625i
1,125 + 1,625i
1,375 + 1,625i
1,625 + 1,625i
1,875 + 1,625i
-1,875 + 1,875i
-1,625 + 1,875i
-1,375 + 1,875i
-1,125 + 1,875i
-0,875 + 1,875i
-0,625 + 1,875i
-0,375 + 1,875i
-0,125 + 1,875i
0,125 + 1,875i
0,375 + 1,875i
0,625 + 1,875i
0,875 + 1,875i
1,125 + 1,875i
1,375 + 1,875i
1,625 + 1,875i
1,875 + 1,875i
